SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 00:00,37,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 00:15,30,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 00:30,26,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 00:45,29,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 01:00,14,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 01:15,20,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 01:30,14,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 01:45,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 02:00,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 02:15,8,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 02:30,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 02:45,7,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 03:00,5,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 03:15,14,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 03:30,6,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 03:45,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 04:00,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 04:15,6,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 04:30,8,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 04:45,7,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 05:00,8,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 05:15,4,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 05:30,13,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 05:45,14,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 06:00,14,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 06:15,16,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 06:30,36,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 06:45,22,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 07:00,27,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 07:15,21,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 07:30,38,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 07:45,53,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 08:00,37,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 08:15,46,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 08:30,74,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 08:45,69,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 09:00,67,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 09:15,73,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 09:30,133,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 09:45,117,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 10:00,121,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 10:15,129,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 10:30,142,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 10:45,112,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 11:00,129,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 11:15,164,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 11:30,130,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 11:45,139,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 12:00,163,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 12:15,141,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 12:30,152,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 12:45,149,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 13:00,134,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 13:15,155,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 13:30,118,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 13:45,124,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 14:00,132,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 14:15,108,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 14:30,143,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 14:45,122,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 15:00,127,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 15:15,126,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 15:30,114,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 15:45,121,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 16:00,134,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 16:15,140,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 16:30,116,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 16:45,146,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 17:00,124,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 17:15,157,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 17:30,136,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 17:45,153,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 18:00,133,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 18:15,138,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 18:30,109,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 18:45,96,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 19:00,100,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 19:15,62,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 19:30,74,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 19:45,72,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 20:00,73,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 20:15,44,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 20:30,55,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 20:45,43,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 21:00,68,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 21:15,48,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 21:30,47,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 21:45,30,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 22:00,31,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 22:15,35,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 22:30,30,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 22:45,31,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 23:00,12,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 23:15,14,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 23:30,13,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,01-10-2006 23:45,13,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 00:00,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 00:15,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 00:30,3,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 00:45,5,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 01:00,7,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 01:15,4,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 01:30,2,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 01:45,3,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 02:00,5,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 02:15,2,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 02:30,6,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 02:45,1,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 03:00,2,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 03:15,7,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 03:30,2,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 03:45,3,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 04:00,7,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 04:15,10,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 04:30,11,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 04:45,9,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 05:00,11,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 05:15,17,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 05:30,24,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 05:45,28,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 06:00,57,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 06:15,89,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 06:30,131,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 06:45,190,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 07:00,241,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 07:15,331,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 07:30,318,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 07:45,370,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 08:00,275,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 08:15,271,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 08:30,273,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 08:45,294,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 09:00,219,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 09:15,172,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 09:30,153,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 09:45,134,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 10:00,135,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 10:15,122,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 10:30,119,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 10:45,114,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 11:00,130,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 11:15,106,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 11:30,107,1,100
0970,HIGH STREET_RD E of WARRIGAL_RD,02-10-2006 11:45,122,1,100
