SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 00:00,94,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 00:15,82,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 00:30,49,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 00:45,64,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 01:00,48,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 01:15,50,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 01:30,46,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 01:45,27,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 02:00,44,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 02:15,48,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 02:30,35,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 02:45,30,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 03:00,35,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 03:15,31,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 03:30,24,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 03:45,18,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 04:00,23,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 04:15,25,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 04:30,28,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 04:45,42,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 05:00,22,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 05:15,32,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 05:30,40,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 05:45,38,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 06:00,30,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 06:15,61,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 06:30,70,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 06:45,48,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 07:00,56,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 07:15,67,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 07:30,72,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 07:45,81,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 08:00,77,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 08:15,91,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 08:30,114,1,100
2000,BURWOOD_HWY E of WARRIGAL_RD,01-10-2006 08:45,107,1,100
