SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 00:00,84,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 00:15,75,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 00:30,73,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 00:45,50,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 01:00,46,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 01:15,43,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 01:30,33,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 01:45,38,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 02:00,36,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 02:15,33,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 02:30,27,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 02:45,28,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 03:00,26,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 03:15,23,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 03:30,23,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 03:45,17,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 04:00,21,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 04:15,15,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 04:30,18,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 04:45,20,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 05:00,27,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 05:15,15,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 05:30,21,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 05:45,16,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 06:00,18,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 06:15,31,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 06:30,32,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 06:45,33,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 07:00,41,1,100
2820,PRINCESS_ST S of CHANDLER_HWY,01-10-2006 07:15,45,1,100
