SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 00:00,72,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 00:15,57,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 00:30,50,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 00:45,43,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 01:00,31,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 01:15,37,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 01:30,34,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 01:45,24,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 02:00,17,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 02:15,23,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 02:30,12,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 02:45,17,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 03:00,10,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 03:15,19,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 03:30,13,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 03:45,11,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 04:00,12,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 04:15,16,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 04:30,18,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 04:45,13,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 05:00,20,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 05:15,19,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 05:30,22,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 05:45,28,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 06:00,24,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 06:15,34,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 06:30,51,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 06:45,44,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 07:00,32,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 07:15,45,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 07:30,38,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 07:45,71,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 08:00,40,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 08:15,59,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 08:30,59,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 08:45,70,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 09:00,61,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 09:15,99,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 09:30,111,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 09:45,91,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 10:00,114,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 10:15,106,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 10:30,115,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 10:45,128,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 11:00,129,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 11:15,178,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 11:30,150,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 11:45,152,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 12:00,142,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 12:15,167,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 12:30,158,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 12:45,157,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 13:00,151,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 13:15,162,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 13:30,158,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 13:45,161,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 14:00,143,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 14:15,168,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 14:30,150,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 14:45,158,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 15:00,148,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 15:15,137,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 15:30,138,1,100
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,01-10-2006 15:45,185,1,100
