SCATS Number,Location,15 Minutes,Day,Hour,Hour-Sin,Hour-Cos,Lag-15min,Lag-30min,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 00:00:00,7,0.0,0.0,1.0,49.0,38.0,158,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 00:15:00,7,0.25,0.06540312923014306,0.9978589232386035,158.0,49.0,136,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 00:30:00,7,0.5,0.13052619222005157,0.9914448613738104,136.0,158.0,120,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 00:45:00,7,0.75,0.19509032201612825,0.9807852804032304,120.0,136.0,180,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 01:00:00,7,1.0,0.25881904510252074,0.9659258262890683,180.0,120.0,96,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 01:15:00,7,1.25,0.3214394653031616,0.9469301294951057,96.0,180.0,116,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 01:30:00,7,1.5,0.3826834323650898,0.9238795325112867,116.0,96.0,95,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 01:45:00,7,1.75,0.44228869021900125,0.8968727415326884,95.0,116.0,96,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 02:00:00,7,2.0,0.49999999999999994,0.8660254037844387,96.0,95.0,79,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 02:15:00,7,2.25,0.5555702330196022,0.8314696123025452,79.0,96.0,96,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 02:30:00,7,2.5,0.6087614290087207,0.7933533402912352,96.0,79.0,76,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 02:45:00,7,2.75,0.6593458151000688,0.7518398074789775,76.0,96.0,82,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 03:00:00,7,3.0,0.7071067811865475,0.7071067811865476,82.0,76.0,55,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 03:15:00,7,3.25,0.7518398074789774,0.6593458151000688,55.0,82.0,86,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 03:30:00,7,3.5,0.7933533402912352,0.6087614290087207,86.0,55.0,51,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 03:45:00,7,3.75,0.8314696123025451,0.5555702330196024,51.0,86.0,48,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 04:00:00,7,4.0,0.8660254037844386,0.5000000000000001,48.0,51.0,47,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 04:15:00,7,4.25,0.8968727415326884,0.44228869021900125,47.0,48.0,38,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 04:30:00,7,4.5,0.9238795325112867,0.38268343236508984,38.0,47.0,55,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 04:45:00,7,4.75,0.9469301294951056,0.3214394653031617,55.0,38.0,67,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 05:00:00,7,5.0,0.9659258262890683,0.25881904510252074,67.0,55.0,60,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 05:15:00,7,5.25,0.9807852804032304,0.19509032201612833,60.0,67.0,32,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 05:30:00,7,5.5,0.9914448613738104,0.1305261922200517,32.0,60.0,52,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 05:45:00,7,5.75,0.9978589232386035,0.06540312923014327,52.0,32.0,66,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 06:00:00,7,6.0,1.0,6.123233995736766e-17,66.0,52.0,41,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 06:15:00,7,6.25,0.9978589232386035,-0.06540312923014314,41.0,66.0,57,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 06:30:00,7,6.5,0.9914448613738104,-0.1305261922200516,57.0,41.0,116,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 06:45:00,7,6.75,0.9807852804032304,-0.1950903220161282,116.0,57.0,112,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 07:00:00,7,7.0,0.9659258262890683,-0.25881904510252063,112.0,116.0,69,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 07:15:00,7,7.25,0.9469301294951057,-0.3214394653031616,69.0,112.0,83,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 07:30:00,7,7.5,0.9238795325112868,-0.3826834323650895,83.0,69.0,84,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 07:45:00,7,7.75,0.8968727415326884,-0.44228869021900113,84.0,83.0,83,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 08:00:00,7,8.0,0.8660254037844387,-0.49999999999999983,83.0,84.0,123,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 08:15:00,7,8.25,0.8314696123025451,-0.5555702330196024,123.0,83.0,82,1,100
3001,BARKERS_RD W of CHURCH_ST,2006-10-01 08:30:00,7,8.5,0.7933533402912352,-0.6087614290087207,82.0,123.0,67,1,100
