SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 00:00,32,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 00:15,69,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 00:30,46,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 00:45,41,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 01:00,31,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 01:15,29,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 01:30,12,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 01:45,19,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 02:00,11,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 02:15,26,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 02:30,15,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 02:45,7,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 03:00,15,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 03:15,10,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 03:30,9,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 03:45,6,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 04:00,13,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 04:15,10,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 04:30,9,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 04:45,9,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 05:00,8,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 05:15,10,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 05:30,12,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 05:45,21,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 06:00,16,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 06:15,22,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 06:30,22,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 06:45,33,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 07:00,27,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 07:15,37,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 07:30,36,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 07:45,43,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 08:00,43,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 08:15,55,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 08:30,89,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 08:45,79,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 09:00,79,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 09:15,94,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 09:30,118,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 09:45,147,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 10:00,142,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 10:15,133,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 10:30,171,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 10:45,159,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 11:00,143,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 11:15,160,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 11:30,162,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 11:45,163,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 12:00,152,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 12:15,181,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 12:30,205,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 12:45,176,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 13:00,171,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 13:15,169,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 13:30,147,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 13:45,160,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 14:00,173,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 14:15,175,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 14:30,154,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 14:45,157,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 15:00,166,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 15:15,165,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 15:30,141,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 15:45,137,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 16:00,164,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 16:15,145,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 16:30,190,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 16:45,184,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 17:00,169,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 17:15,153,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 17:30,189,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 17:45,157,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 18:00,157,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 18:15,132,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 18:30,135,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 18:45,105,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 19:00,86,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 19:15,88,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 19:30,70,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 19:45,96,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 20:00,76,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 20:15,61,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 20:30,81,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 20:45,156,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 21:00,78,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 21:15,92,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 21:30,74,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 21:45,83,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 22:00,60,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 22:15,48,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 22:30,49,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 22:45,35,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 23:00,32,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 23:15,26,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 23:30,11,1,100
3002,DENMARK_ST N of BARKERS_RD,01-10-2006 23:45,8,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 00:00,17,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 00:15,7,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 00:30,14,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 00:45,6,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 01:00,7,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 01:15,9,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 01:30,4,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 01:45,6,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 02:00,7,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 02:15,8,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 02:30,2,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 02:45,6,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 03:00,9,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 03:15,5,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 03:30,3,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 03:45,11,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 04:00,2,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 04:15,10,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 04:30,10,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 04:45,12,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 05:00,15,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 05:15,19,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 05:30,32,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 05:45,52,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 06:00,47,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 06:15,75,1,100
3002,DENMARK_ST N of BARKERS_RD,02-10-2006 06:30,141,1,100
