SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 00:00,46,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 00:15,45,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 00:30,40,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 00:45,49,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 01:00,34,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 01:15,28,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 01:30,33,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 01:45,29,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 02:00,22,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 02:15,25,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 02:30,28,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 02:45,24,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 03:00,23,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 03:15,21,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 03:30,15,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 03:45,13,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 04:00,14,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 04:15,18,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 04:30,17,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 04:45,21,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 05:00,16,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 05:15,15,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 05:30,27,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 05:45,37,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 06:00,39,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 06:15,47,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 06:30,56,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 06:45,54,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 07:00,58,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 07:15,58,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 07:30,56,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 07:45,82,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 08:00,66,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 08:15,86,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 08:30,105,1,100
3122,CANTERBURY_RD E of STANHOPE_GV,01-10-2006 08:45,134,1,100
