SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 00:00,64,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 00:15,59,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 00:30,55,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 00:45,45,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 01:00,35,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 01:15,47,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 01:30,39,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 01:45,18,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 02:00,24,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 02:15,25,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 02:30,33,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 02:45,26,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 03:00,18,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 03:15,22,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 03:30,11,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 03:45,8,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 04:00,21,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 04:15,21,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 04:30,20,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 04:45,18,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 05:00,18,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 05:15,18,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 05:30,42,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 05:45,30,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 06:00,42,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 06:15,39,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 06:30,56,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 06:45,60,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 07:00,54,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 07:15,63,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 07:30,59,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 07:45,87,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 08:00,72,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 08:15,101,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 08:30,104,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 08:45,150,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 09:00,152,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 09:15,161,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 09:30,204,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 09:45,249,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 10:00,208,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 10:15,248,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 10:30,206,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 10:45,233,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 11:00,184,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 11:15,228,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 11:30,212,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 11:45,219,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 12:00,217,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 12:15,228,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 12:30,236,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 12:45,190,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 13:00,237,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 13:15,230,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 13:30,221,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 13:45,222,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 14:00,209,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 14:15,264,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 14:30,233,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 14:45,224,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 15:00,211,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 15:15,198,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 15:30,194,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 15:45,248,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 16:00,235,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 16:15,220,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 16:30,199,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 16:45,219,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 17:00,228,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 17:15,218,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 17:30,221,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 17:45,224,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 18:00,183,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 18:15,172,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 18:30,155,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 18:45,156,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 19:00,136,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 19:15,147,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 19:30,119,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 19:45,101,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 20:00,91,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 20:15,94,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 20:30,83,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 20:45,88,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 21:00,109,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 21:15,97,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 21:30,108,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 21:45,78,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 22:00,57,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 22:15,69,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 22:30,53,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 22:45,56,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 23:00,42,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 23:15,32,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 23:30,30,1,100
3127,CANTERBURY_RD E of BALWYN_RD,01-10-2006 23:45,34,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 00:00,11,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 00:15,21,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 00:30,12,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 00:45,8,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 01:00,10,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 01:15,6,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 01:30,6,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 01:45,11,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 02:00,6,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 02:15,5,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 02:30,10,1,100
3127,CANTERBURY_RD E of BALWYN_RD,02-10-2006 02:45,8,1,100
