SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 00:00,22,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 00:15,27,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 00:30,22,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 00:45,23,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 01:00,21,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 01:15,11,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 01:30,18,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 01:45,8,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 02:00,6,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 02:15,11,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 02:30,7,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 02:45,4,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 03:00,8,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 03:15,4,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 03:30,4,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 03:45,5,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 04:00,6,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 04:15,3,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 04:30,6,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 04:45,2,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 05:00,3,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 05:15,2,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 05:30,6,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 05:45,7,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 06:00,2,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 06:15,9,1,100
3180,BALWYN_RD S of DONCASTER_RD,01-10-2006 06:30,14,1,100
