SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 00:00,57,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 00:15,56,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 00:30,54,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 00:45,56,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 01:00,35,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 01:15,31,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 01:30,29,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 01:45,24,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 02:00,30,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 02:15,16,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 02:30,16,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 02:45,21,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 03:00,15,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 03:15,11,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 03:30,25,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 03:45,16,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 04:00,12,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 04:15,16,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 04:30,17,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 04:45,20,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 05:00,17,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 05:15,28,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 05:30,38,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 05:45,39,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 06:00,57,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 06:15,50,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 06:30,56,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 06:45,54,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 07:00,63,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 07:15,46,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 07:30,66,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 07:45,68,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 08:00,52,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 08:15,54,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 08:30,74,1,100
4040,BURKE_RD S of RIVERSDALE_RD,01-10-2006 08:45,88,1,100
