SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 00:00,25,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 00:15,35,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 00:30,19,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 00:45,20,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 01:00,14,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 01:15,11,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 01:30,7,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 01:45,12,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 02:00,12,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 02:15,4,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 02:30,8,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 02:45,7,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 03:00,5,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 03:15,5,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 03:30,7,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 03:45,0,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 04:00,3,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 04:15,6,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 04:30,5,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 04:45,6,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 05:00,3,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 05:15,10,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 05:30,5,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 05:45,6,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 06:00,9,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 06:15,12,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 06:30,11,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 06:45,14,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 07:00,15,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 07:15,22,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 07:30,30,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 07:45,33,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 08:00,24,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 08:15,41,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 08:30,57,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 08:45,63,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 09:00,63,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 09:15,69,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 09:30,73,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 09:45,77,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 10:00,85,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 10:15,79,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 10:30,81,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 10:45,102,1,100
4057,BALWYN_RD N OF BELMORE_RD,01-10-2006 11:00,93,1,100
