SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 00:00,21,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 00:15,22,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 00:30,9,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 00:45,18,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 01:00,14,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 01:15,14,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 01:30,11,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 01:45,8,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 02:00,5,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 02:15,12,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 02:30,9,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 02:45,2,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 03:00,4,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 03:15,6,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 03:30,4,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 03:45,4,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 04:00,8,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 04:15,0,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 04:30,3,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 04:45,2,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 05:00,4,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 05:15,6,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 05:30,2,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 05:45,5,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 06:00,12,1,100
4057,BELMORE_RD E OF BALWYN_RD,01-10-2006 06:15,9,1,100
