SCATS Number,Location,15 Minutes,Day,Hour,Hour-Sin,Hour-Cos,Lag-15min,Lag-30min,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 00:00:00,7,0.0,0.0,1.0,0.0,0.0,121,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 00:15:00,7,0.25,0.06540312923014306,0.9978589232386035,121.0,0.0,92,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 00:30:00,7,0.5,0.13052619222005157,0.9914448613738104,92.0,121.0,85,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 00:45:00,7,0.75,0.19509032201612825,0.9807852804032304,85.0,92.0,97,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 01:00:00,7,1.0,0.25881904510252074,0.9659258262890683,97.0,85.0,87,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 01:15:00,7,1.25,0.3214394653031616,0.9469301294951057,87.0,97.0,100,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 01:30:00,7,1.5,0.3826834323650898,0.9238795325112867,100.0,87.0,86,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 01:45:00,7,1.75,0.44228869021900125,0.8968727415326884,86.0,100.0,77,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 02:00:00,7,2.0,0.49999999999999994,0.8660254037844387,77.0,86.0,74,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 02:15:00,7,2.25,0.5555702330196022,0.8314696123025452,74.0,77.0,65,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 02:30:00,7,2.5,0.6087614290087207,0.7933533402912352,65.0,74.0,69,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 02:45:00,7,2.75,0.6593458151000688,0.7518398074789775,69.0,65.0,63,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 03:00:00,7,3.0,0.7071067811865475,0.7071067811865476,63.0,69.0,49,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 03:15:00,7,3.25,0.7518398074789774,0.6593458151000688,49.0,63.0,60,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 03:30:00,7,3.5,0.7933533402912352,0.6087614290087207,60.0,49.0,58,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 03:45:00,7,3.75,0.8314696123025451,0.5555702330196024,58.0,60.0,67,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 04:00:00,7,4.0,0.8660254037844386,0.5000000000000001,67.0,58.0,72,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 04:15:00,7,4.25,0.8968727415326884,0.44228869021900125,72.0,67.0,46,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 04:30:00,7,4.5,0.9238795325112867,0.38268343236508984,46.0,72.0,50,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 04:45:00,7,4.75,0.9469301294951056,0.3214394653031617,50.0,46.0,47,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 05:00:00,7,5.0,0.9659258262890683,0.25881904510252074,47.0,50.0,38,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 05:15:00,7,5.25,0.9807852804032304,0.19509032201612833,38.0,47.0,46,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 05:30:00,7,5.5,0.9914448613738104,0.1305261922200517,46.0,38.0,35,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 05:45:00,7,5.75,0.9978589232386035,0.06540312923014327,35.0,46.0,43,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 06:00:00,7,6.0,1.0,6.123233995736766e-17,43.0,35.0,34,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 06:15:00,7,6.25,0.9978589232386035,-0.06540312923014314,34.0,43.0,34,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 06:30:00,7,6.5,0.9914448613738104,-0.1305261922200516,34.0,34.0,30,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 06:45:00,7,6.75,0.9807852804032304,-0.1950903220161282,30.0,34.0,37,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 07:00:00,7,7.0,0.9659258262890683,-0.25881904510252063,37.0,30.0,25,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 07:15:00,7,7.25,0.9469301294951057,-0.3214394653031616,25.0,37.0,43,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 07:30:00,7,7.5,0.9238795325112868,-0.3826834323650895,43.0,25.0,44,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 07:45:00,7,7.75,0.8968727415326884,-0.44228869021900113,44.0,43.0,43,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 08:00:00,7,8.0,0.8660254037844387,-0.49999999999999983,43.0,44.0,54,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 08:15:00,7,8.25,0.8314696123025451,-0.5555702330196024,54.0,43.0,50,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 08:30:00,7,8.5,0.7933533402912352,-0.6087614290087207,50.0,54.0,60,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 08:45:00,7,8.75,0.7518398074789774,-0.6593458151000688,60.0,50.0,67,1,100
4262,BRIDGE_RD SW of BURWOOD_RD,2006-10-01 09:00:00,7,9.0,0.7071067811865476,-0.7071067811865475,67.0,60.0,83,1,100
