SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4263,BURWOOD_RD E of POWER_ST,01-10-2006 00:00,84,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 00:15,76,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 00:30,58,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 00:45,59,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 01:00,59,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 01:15,47,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 01:30,69,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 01:45,52,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 02:00,57,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 02:15,52,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 02:30,39,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 02:45,59,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 03:00,45,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 03:15,37,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 03:30,45,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 03:45,34,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 04:00,33,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 04:15,33,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 04:30,32,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 04:45,45,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 05:00,27,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 05:15,28,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 05:30,30,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 05:45,40,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 06:00,29,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 06:15,50,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 06:30,38,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 06:45,44,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 07:00,30,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 07:15,44,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 07:30,42,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 07:45,52,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 08:00,56,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 08:15,54,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 08:30,76,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 08:45,77,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 09:00,85,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 09:15,112,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 09:30,124,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 09:45,125,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 10:00,145,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 10:15,129,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 10:30,159,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 10:45,159,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 11:00,150,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 11:15,135,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 11:30,164,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 11:45,160,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 12:00,152,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 12:15,158,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 12:30,156,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 12:45,163,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 13:00,182,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 13:15,174,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 13:30,153,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 13:45,172,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 14:00,138,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 14:15,135,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 14:30,144,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 14:45,152,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 15:00,149,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 15:15,162,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 15:30,123,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 15:45,163,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 16:00,140,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 16:15,135,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 16:30,117,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 16:45,115,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 17:00,146,1,100
4263,BURWOOD_RD E of POWER_ST,01-10-2006 17:15,107,1,100
