SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 00:00,51,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 00:15,55,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 00:30,75,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 00:45,39,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 01:00,45,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 01:15,41,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 01:30,59,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 01:45,59,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 02:00,47,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 02:15,47,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 02:30,34,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 02:45,40,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 03:00,48,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 03:15,30,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 03:30,34,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 03:45,34,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 04:00,35,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 04:15,35,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 04:30,27,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 04:45,35,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 05:00,28,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 05:15,29,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 05:30,22,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 05:45,18,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 06:00,21,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 06:15,29,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 06:30,22,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 06:45,18,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 07:00,33,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 07:15,28,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 07:30,29,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 07:45,33,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 08:00,33,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 08:15,40,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 08:30,46,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 08:45,56,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 09:00,54,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 09:15,68,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 09:30,78,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 09:45,57,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 10:00,86,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 10:15,77,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 10:30,93,1,100
4264,GLENFERRIE_RD N of BURWOOD_RD,01-10-2006 10:45,120,1,100
