SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 00:00,37,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 00:15,36,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 00:30,26,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 00:45,34,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 01:00,30,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 01:15,17,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 01:30,13,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 01:45,21,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 02:00,15,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 02:15,16,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 02:30,14,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 02:45,14,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 03:00,8,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 03:15,9,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 03:30,9,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 03:45,13,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 04:00,10,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 04:15,7,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 04:30,9,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 04:45,9,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 05:00,6,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 05:15,5,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 05:30,15,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 05:45,14,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 06:00,21,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 06:15,10,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 06:30,21,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 06:45,25,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 07:00,17,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 07:15,25,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 07:30,29,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 07:45,29,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 08:00,22,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 08:15,35,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 08:30,34,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 08:45,55,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 09:00,47,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 09:15,49,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 09:30,73,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 09:45,95,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 10:00,73,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 10:15,110,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 10:30,117,1,100
4266,AUBURN_RD S of BURWOOD_RD,01-10-2006 10:45,128,1,100
