SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 00:00,15,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 00:15,17,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 00:30,13,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 00:45,6,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 01:00,12,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 01:15,6,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 01:30,8,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 01:45,5,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 02:00,7,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 02:15,5,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 02:30,6,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 02:45,3,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 03:00,10,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 03:15,10,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 03:30,6,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 03:45,7,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 04:00,8,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 04:15,4,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 04:30,5,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 04:45,16,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 05:00,12,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 05:15,21,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 05:30,38,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 05:45,42,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 06:00,44,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 06:15,76,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 06:30,95,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 06:45,111,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 07:00,139,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 07:15,203,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 07:30,209,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 07:45,266,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 08:00,240,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 08:15,237,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 08:30,215,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 08:45,203,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 09:00,175,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 09:15,124,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 09:30,153,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 09:45,122,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 10:00,132,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 10:15,127,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 10:30,121,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 10:45,136,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 11:00,125,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 11:15,139,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 11:30,128,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 11:45,113,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 12:00,136,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 12:15,128,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 12:30,96,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 12:45,116,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 13:00,140,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 13:15,155,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 13:30,110,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 13:45,124,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 14:00,105,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 14:15,130,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 14:30,142,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 14:45,120,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 15:00,133,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 15:15,110,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 15:30,107,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 15:45,135,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 16:00,128,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 16:15,131,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 16:30,159,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 16:45,136,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 17:00,136,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 17:15,174,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 17:30,133,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 17:45,122,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 18:00,133,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 18:15,123,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 18:30,123,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 18:45,96,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 19:00,104,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 19:15,90,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 19:30,73,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 19:45,73,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 20:00,74,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 20:15,50,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 20:30,54,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 20:45,47,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 21:00,52,1,100
4272,RIVERSDALE_RD E of TOORONGA_RD,02-10-2006 21:15,51,1,100
