SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 00:00,66,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 00:15,76,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 00:30,45,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 00:45,39,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 01:00,44,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 01:15,46,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 01:30,33,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 01:45,39,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 02:00,40,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 02:15,29,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 02:30,32,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 02:45,27,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 03:00,33,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 03:15,31,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 03:30,24,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 03:45,29,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 04:00,27,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 04:15,34,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 04:30,23,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 04:45,36,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 05:00,33,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 05:15,19,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 05:30,36,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 05:45,30,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 06:00,37,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 06:15,48,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 06:30,52,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 06:45,37,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 07:00,45,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 07:15,45,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 07:30,71,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 07:45,66,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 08:00,70,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 08:15,101,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 08:30,100,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 08:45,103,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 09:00,111,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 09:15,122,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 09:30,146,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 09:45,170,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 10:00,170,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 10:15,169,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 10:30,148,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 10:45,197,1,100
4273,TOORAK_RD E of TOORONGA_RD,01-10-2006 11:00,154,1,100
