SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 00:00,44,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 00:15,50,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 00:30,49,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 00:45,42,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 01:00,31,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 01:15,44,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 01:30,33,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 01:45,30,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 02:00,33,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 02:15,29,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 02:30,33,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 02:45,23,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 03:00,26,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 03:15,26,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 03:30,31,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 03:45,21,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 04:00,17,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 04:15,17,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 04:30,22,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 04:45,17,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 05:00,17,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 05:15,16,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 05:30,28,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 05:45,26,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 06:00,18,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 06:15,24,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 06:30,46,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 06:45,41,1,100
4821,VICTORIA_ST E OF BURNLEY_ST,01-10-2006 07:00,35,1,100
