SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 00:00,92,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 00:15,93,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 00:30,90,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 00:45,55,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 01:00,64,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 01:15,50,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 01:30,47,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 01:45,36,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 02:00,34,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 02:15,36,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 02:30,34,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 02:45,24,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 03:00,34,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 03:15,28,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 03:30,19,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 03:45,20,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 04:00,22,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 04:15,24,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 04:30,18,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 04:45,10,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 05:00,13,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 05:15,22,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 05:30,14,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 05:45,34,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 06:00,17,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 06:15,39,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 06:30,53,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 06:45,48,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 07:00,31,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 07:15,47,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 07:30,51,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 07:45,46,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 08:00,59,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 08:15,60,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 08:30,81,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 08:45,111,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 09:00,114,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 09:15,112,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 09:30,134,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 09:45,145,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 10:00,154,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 10:15,188,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 10:30,197,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 10:45,200,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 11:00,191,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 11:15,218,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 11:30,250,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 11:45,292,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 12:00,294,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 12:15,301,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 12:30,245,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 12:45,298,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 13:00,292,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 13:15,256,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 13:30,275,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 13:45,295,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 14:00,309,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 14:15,278,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 14:30,293,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 14:45,321,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 15:00,264,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 15:15,262,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 15:30,276,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 15:45,280,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 16:00,269,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 16:15,346,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 16:30,336,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 16:45,333,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 17:00,361,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 17:15,375,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 17:30,333,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 17:45,319,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 18:00,279,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 18:15,246,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 18:30,195,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 18:45,167,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 19:00,164,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 19:15,168,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 19:30,135,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 19:45,105,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 20:00,120,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 20:15,118,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 20:30,110,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 20:45,111,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 21:00,104,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 21:15,125,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 21:30,95,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 21:45,117,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 22:00,87,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 22:15,82,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 22:30,55,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 22:45,58,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 23:00,57,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 23:15,51,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 23:30,41,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,01-10-2006 23:45,41,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 00:00,31,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 00:15,19,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 00:30,20,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 00:45,20,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 01:00,12,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 01:15,8,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 01:30,12,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 01:45,7,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 02:00,8,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 02:15,9,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 02:30,7,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 02:45,6,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 03:00,7,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 03:15,10,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 03:30,9,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 03:45,6,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 04:00,6,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 04:15,7,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 04:30,11,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 04:45,15,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 05:00,13,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 05:15,25,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 05:30,22,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 05:45,51,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 06:00,62,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 06:15,89,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 06:30,135,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 06:45,151,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 07:00,202,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 07:15,249,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 07:30,329,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 07:45,266,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 08:00,365,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 08:15,331,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 08:30,390,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 08:45,271,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 09:00,258,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 09:15,265,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 09:30,240,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 09:45,262,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 10:00,203,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 10:15,243,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 10:30,209,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 10:45,237,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 11:00,204,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 11:15,235,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 11:30,246,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 11:45,269,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 12:00,217,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 12:15,222,1,100
0970,WARRIGAL_RD S of HIGH STREET_RD,02-10-2006 12:30,218,1,100
