SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 00:00,110,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 00:15,93,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 00:30,83,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 00:45,53,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 01:00,58,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 01:15,47,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 01:30,42,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 01:45,29,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 02:00,35,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 02:15,34,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 02:30,32,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 02:45,28,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 03:00,36,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 03:15,25,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 03:30,15,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 03:45,18,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 04:00,24,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 04:15,14,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 04:30,17,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 04:45,16,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 05:00,12,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 05:15,23,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 05:30,14,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 05:45,26,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 06:00,27,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 06:15,42,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 06:30,43,1,100
2000,WARRIGAL_RD S of BURWOOD_HWY,01-10-2006 06:45,50,1,100
