SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 00:00,25,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 00:15,17,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 00:30,16,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 00:45,21,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 01:00,18,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 01:15,10,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 01:30,12,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 01:45,14,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 02:00,10,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 02:15,6,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 02:30,5,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 02:45,7,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 03:00,5,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 03:15,3,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 03:30,6,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 03:45,6,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 04:00,10,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 04:15,4,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 04:30,5,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 04:45,4,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 05:00,2,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 05:15,2,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 05:30,12,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 05:45,2,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 06:00,5,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 06:15,18,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 06:30,17,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 06:45,13,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 07:00,11,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 07:15,19,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 07:30,24,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 07:45,24,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 08:00,31,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 08:15,37,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 08:30,40,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 08:45,76,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 09:00,71,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 09:15,71,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 09:30,83,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 09:45,91,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 10:00,87,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 10:15,109,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 10:30,116,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 10:45,89,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 11:00,90,1,100
2200,UNION_RD N of MAROONDAH_HWY,01-10-2006 11:15,85,1,100
