SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 00:00,30,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 00:15,34,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 00:30,24,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 00:45,22,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 01:00,23,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 01:15,17,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 01:30,15,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 01:45,17,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 02:00,20,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 02:15,8,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 02:30,8,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 02:45,12,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 03:00,9,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 03:15,9,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 03:30,8,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 03:45,8,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 04:00,9,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 04:15,4,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 04:30,9,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 04:45,4,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 05:00,13,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 05:15,9,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 05:30,7,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 05:45,12,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 06:00,11,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 06:15,20,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 06:30,27,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 06:45,19,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 07:00,29,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 07:15,28,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 07:30,36,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 07:45,39,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 08:00,38,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 08:15,38,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 08:30,49,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 08:45,73,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 09:00,68,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 09:15,80,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 09:30,110,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 09:45,111,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 10:00,95,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 10:15,109,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 10:30,110,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 10:45,116,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 11:00,90,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 11:15,117,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 11:30,115,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 11:45,112,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 12:00,112,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 12:15,112,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 12:30,128,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 12:45,134,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 13:00,114,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 13:15,117,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 13:30,101,1,100
2820,EARL_ST SE of PRINCESS_ST,01-10-2006 13:45,134,1,100
