SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 00:00,97,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 00:15,92,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 00:30,90,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 00:45,57,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 01:00,45,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 01:15,54,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 01:30,35,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 01:45,29,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 02:00,27,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 02:15,36,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 02:30,11,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 02:45,17,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 03:00,16,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 03:15,16,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 03:30,13,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 03:45,16,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 04:00,16,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 04:15,14,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 04:30,13,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 04:45,16,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 05:00,14,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 05:15,21,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 05:30,18,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 05:45,15,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 06:00,13,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 06:15,36,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 06:30,46,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 06:45,36,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 07:00,36,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 07:15,53,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 07:30,55,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 07:45,65,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 08:00,68,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 08:15,87,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 08:30,113,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 08:45,120,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 09:00,117,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 09:15,149,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 09:30,157,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 09:45,192,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 10:00,178,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 10:15,215,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 10:30,215,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 10:45,184,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 11:00,223,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 11:15,208,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 11:30,243,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 11:45,242,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 12:00,238,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 12:15,239,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 12:30,238,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 12:45,197,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 13:00,208,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 13:15,227,1,100
2827,BULLEEN_RD N of THOMPSONS_RD,01-10-2006 13:30,203,1,100
