SCATS Number,Location,15 Minutes,Day,Hour,Hour-Sin,Hour-Cos,Lag-15min,Lag-30min,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 00:00:00,7,0.0,0.0,1.0,21.0,24.0,67,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 00:15:00,7,0.25,0.065403129230143,0.9978589232386036,67.0,21.0,42,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 00:30:00,7,0.5,0.1305261922200515,0.9914448613738104,42.0,67.0,42,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 00:45:00,7,0.75,0.1950903220161282,0.9807852804032304,42.0,42.0,35,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 01:00:00,7,1.0,0.2588190451025207,0.9659258262890684,35.0,42.0,29,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 01:15:00,7,1.25,0.3214394653031616,0.9469301294951056,29.0,35.0,28,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 01:30:00,7,1.5,0.3826834323650898,0.9238795325112868,28.0,29.0,21,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 01:45:00,7,1.75,0.4422886902190012,0.8968727415326884,21.0,28.0,23,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 02:00:00,7,2.0,0.4999999999999999,0.8660254037844387,23.0,21.0,19,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 02:15:00,7,2.25,0.5555702330196022,0.8314696123025452,19.0,23.0,18,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 02:30:00,7,2.5,0.6087614290087207,0.7933533402912352,18.0,19.0,24,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 02:45:00,7,2.75,0.6593458151000688,0.7518398074789775,24.0,18.0,17,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 03:00:00,7,3.0,0.7071067811865475,0.7071067811865476,17.0,24.0,15,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 03:15:00,7,3.25,0.7518398074789774,0.6593458151000688,15.0,17.0,17,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 03:30:00,7,3.5,0.7933533402912352,0.6087614290087207,17.0,15.0,17,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 03:45:00,7,3.75,0.8314696123025451,0.5555702330196024,17.0,17.0,12,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 04:00:00,7,4.0,0.8660254037844386,0.5000000000000001,12.0,17.0,12,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 04:15:00,7,4.25,0.8968727415326884,0.4422886902190012,12.0,12.0,14,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 04:30:00,7,4.5,0.9238795325112868,0.3826834323650898,14.0,12.0,19,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 04:45:00,7,4.75,0.9469301294951056,0.3214394653031617,19.0,14.0,13,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 05:00:00,7,5.0,0.9659258262890684,0.2588190451025207,13.0,19.0,15,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 05:15:00,7,5.25,0.9807852804032304,0.1950903220161283,15.0,13.0,9,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 05:30:00,7,5.5,0.9914448613738104,0.1305261922200517,9.0,15.0,18,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 05:45:00,7,5.75,0.9978589232386036,0.0654031292301432,18.0,9.0,20,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 06:00:00,7,6.0,1.0,6.123233995736766e-17,20.0,18.0,22,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 06:15:00,7,6.25,0.9978589232386036,-0.0654031292301431,22.0,20.0,31,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 06:30:00,7,6.5,0.9914448613738104,-0.1305261922200516,31.0,22.0,38,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 06:45:00,7,6.75,0.9807852804032304,-0.1950903220161282,38.0,31.0,30,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 07:00:00,7,7.0,0.9659258262890684,-0.2588190451025206,30.0,38.0,36,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 07:15:00,7,7.25,0.9469301294951056,-0.3214394653031616,36.0,30.0,44,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 07:30:00,7,7.5,0.9238795325112868,-0.3826834323650895,44.0,36.0,56,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 07:45:00,7,7.75,0.8968727415326884,-0.4422886902190011,56.0,44.0,53,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 08:00:00,7,8.0,0.8660254037844387,-0.4999999999999998,53.0,56.0,44,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 08:15:00,7,8.25,0.8314696123025451,-0.5555702330196024,44.0,53.0,72,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 08:30:00,7,8.5,0.7933533402912352,-0.6087614290087207,72.0,44.0,82,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 08:45:00,7,8.75,0.7518398074789774,-0.6593458151000688,82.0,72.0,115,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 09:00:00,7,9.0,0.7071067811865476,-0.7071067811865475,115.0,82.0,85,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 09:15:00,7,9.25,0.659345815100069,-0.7518398074789773,85.0,115.0,117,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 09:30:00,7,9.5,0.6087614290087209,-0.793353340291235,117.0,85.0,140,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 09:45:00,7,9.75,0.5555702330196025,-0.831469612302545,140.0,117.0,160,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 10:00:00,7,10.0,0.4999999999999999,-0.8660254037844387,160.0,140.0,151,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 10:15:00,7,10.25,0.4422886902190017,-0.8968727415326881,151.0,160.0,174,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 10:30:00,7,10.5,0.3826834323650899,-0.9238795325112868,174.0,151.0,146,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 10:45:00,7,10.75,0.3214394653031617,-0.9469301294951056,146.0,174.0,168,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 11:00:00,7,11.0,0.258819045102521,-0.9659258262890682,168.0,146.0,140,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 11:15:00,7,11.25,0.1950903220161281,-0.9807852804032304,140.0,168.0,184,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 11:30:00,7,11.5,0.130526192220052,-0.9914448613738104,184.0,140.0,153,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 11:45:00,7,11.75,0.0654031292301431,-0.9978589232386036,153.0,184.0,149,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 12:00:00,7,12.0,1.2246467991473532e-16,-1.0,149.0,153.0,169,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 12:15:00,7,12.25,-0.0654031292301428,-0.9978589232386036,169.0,149.0,186,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 12:30:00,7,12.5,-0.1305261922200517,-0.9914448613738104,186.0,169.0,161,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 12:45:00,7,12.75,-0.1950903220161279,-0.9807852804032304,161.0,186.0,179,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 13:00:00,7,13.0,-0.2588190451025208,-0.9659258262890684,179.0,161.0,166,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 13:15:00,7,13.25,-0.3214394653031615,-0.9469301294951056,166.0,179.0,149,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 13:30:00,7,13.5,-0.3826834323650896,-0.9238795325112868,149.0,166.0,148,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 13:45:00,7,13.75,-0.4422886902190014,-0.8968727415326881,148.0,149.0,183,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 14:00:00,7,14.0,-0.4999999999999998,-0.8660254037844388,183.0,148.0,139,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 14:15:00,7,14.25,-0.555570233019602,-0.8314696123025455,139.0,183.0,140,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 14:30:00,7,14.5,-0.6087614290087207,-0.7933533402912352,140.0,139.0,151,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 14:45:00,7,14.75,-0.6593458151000688,-0.7518398074789775,151.0,140.0,125,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 15:00:00,7,15.0,-0.7071067811865471,-0.7071067811865479,125.0,151.0,142,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 15:15:00,7,15.25,-0.7518398074789773,-0.6593458151000691,142.0,125.0,131,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 15:30:00,7,15.5,-0.7933533402912349,-0.6087614290087209,131.0,142.0,134,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 15:45:00,7,15.75,-0.8314696123025452,-0.5555702330196022,134.0,131.0,138,1,100
2846,HIGH_ST E OF S.E.ARTERIAL,2006-10-01 16:00:00,7,16.0,-0.8660254037844384,-0.5000000000000004,138.0,134.0,152,1,100
