SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 00:00,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 00:15,2,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 00:30,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 00:45,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 01:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 01:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 01:30,2,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 01:45,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 02:00,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 02:15,2,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 02:30,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 02:45,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 03:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 03:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 03:30,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 03:45,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 04:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 04:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 04:30,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 04:45,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 05:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 05:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 05:30,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 05:45,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 06:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 06:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 06:30,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 06:45,3,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 07:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 07:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 07:30,2,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 07:45,4,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 08:00,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 08:15,0,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 08:30,4,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 08:45,6,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 09:00,6,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 09:15,7,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 09:30,3,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 09:45,8,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 10:00,3,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 10:15,11,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 10:30,1,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 10:45,10,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 11:00,9,1,100
2846,WILLS_ST NW OF HIGH_ST,01-10-2006 11:15,4,1,100
