SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3001,BARKERS_RD E of HIGH_ST,01-10-2006 00:00,50,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 00:15,51,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 00:30,53,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 00:45,81,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 01:00,31,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 01:15,33,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 01:30,25,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 01:45,30,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 02:00,25,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 02:15,35,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 02:30,29,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 02:45,32,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 03:00,29,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 03:15,27,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 03:30,20,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 03:45,18,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 04:00,12,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 04:15,18,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 04:30,26,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 04:45,26,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 05:00,17,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 05:15,14,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 05:30,21,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 05:45,31,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 06:00,26,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 06:15,15,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 06:30,56,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 06:45,34,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 07:00,34,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 07:15,39,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 07:30,57,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 07:45,53,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 08:00,49,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 08:15,51,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 08:30,57,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 08:45,81,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 09:00,107,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 09:15,107,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 09:30,123,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 09:45,146,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 10:00,185,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 10:15,139,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 10:30,135,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 10:45,173,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 11:00,161,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 11:15,127,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 11:30,174,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 11:45,219,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 12:00,201,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 12:15,160,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 12:30,242,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 12:45,188,1,100
3001,BARKERS_RD E of HIGH_ST,01-10-2006 13:00,320,1,100
