SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 00:00,46,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 00:15,43,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 00:30,43,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 00:45,87,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 01:00,59,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 01:15,31,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 01:30,31,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 01:45,35,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 02:00,34,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 02:15,37,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 02:30,27,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 02:45,33,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 03:00,21,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 03:15,29,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 03:30,27,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 03:45,14,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 04:00,13,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 04:15,18,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 04:30,29,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 04:45,33,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 05:00,18,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 05:15,20,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 05:30,28,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 05:45,38,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 06:00,23,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 06:15,22,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 06:30,55,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 06:45,53,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 07:00,46,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 07:15,40,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 07:30,49,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 07:45,68,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 08:00,98,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 08:15,49,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 08:30,54,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 08:45,63,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 09:00,100,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 09:15,100,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 09:30,116,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 09:45,142,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 10:00,144,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 10:15,139,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 10:30,145,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 10:45,189,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 11:00,135,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 11:15,131,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 11:30,131,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 11:45,170,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 12:00,182,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 12:15,139,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 12:30,164,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 12:45,132,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 13:00,240,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 13:15,158,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 13:30,244,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 13:45,133,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 14:00,132,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 14:15,115,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 14:30,202,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 14:45,212,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 15:00,171,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 15:15,105,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 15:30,223,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 15:45,200,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 16:00,136,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 16:15,124,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 16:30,171,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 16:45,234,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 17:00,107,1,100
3001,HIGH_ST NE of BARKERS_RD,01-10-2006 17:15,189,1,100
