SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 00:00,56,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 00:15,59,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 00:30,40,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 00:45,47,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 01:00,35,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 01:15,31,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 01:30,25,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 01:45,27,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 02:00,30,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 02:15,29,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 02:30,29,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 02:45,23,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 03:00,31,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 03:15,22,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 03:30,23,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 03:45,23,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 04:00,17,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 04:15,16,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 04:30,22,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 04:45,15,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 05:00,12,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 05:15,14,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 05:30,27,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 05:45,22,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 06:00,31,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 06:15,29,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 06:30,45,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 06:45,45,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 07:00,29,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 07:15,41,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 07:30,48,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 07:45,65,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 08:00,52,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 08:15,64,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 08:30,68,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 08:45,124,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 09:00,110,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 09:15,118,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 09:30,132,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 09:45,193,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 10:00,146,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 10:15,180,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 10:30,145,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 10:45,164,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 11:00,197,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 11:15,139,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 11:30,185,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 11:45,170,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 12:00,198,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 12:15,191,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 12:30,200,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 12:45,207,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 13:00,194,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 13:15,179,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 13:30,198,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 13:45,182,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 14:00,156,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 14:15,166,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 14:30,197,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 14:45,186,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 15:00,160,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 15:15,182,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 15:30,174,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 15:45,208,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 16:00,156,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 16:15,166,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 16:30,135,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 16:45,131,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 17:00,149,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 17:15,156,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 17:30,161,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 17:45,152,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 18:00,142,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 18:15,140,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 18:30,121,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 18:45,96,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 19:00,80,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 19:15,106,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 19:30,91,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 19:45,66,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 20:00,58,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 20:15,75,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 20:30,67,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 20:45,64,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 21:00,78,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 21:15,65,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 21:30,72,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 21:45,73,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 22:00,77,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 22:15,57,1,100
3002,BARKERS_RD E of DENMARK_ST,01-10-2006 22:30,49,1,100
