SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 00:00,105,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 00:15,114,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 00:30,89,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 00:45,93,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 01:00,60,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 01:15,43,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 01:30,47,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 01:45,38,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 02:00,45,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 02:15,37,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 02:30,21,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 02:45,41,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 03:00,28,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 03:15,22,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 03:30,30,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 03:45,22,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 04:00,19,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 04:15,17,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 04:30,15,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 04:45,14,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 05:00,23,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 05:15,16,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 05:30,18,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 05:45,15,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 06:00,23,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 06:15,22,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 06:30,38,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 06:45,34,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 07:00,30,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 07:15,39,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 07:30,41,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 07:45,66,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 08:00,56,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 08:15,67,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 08:30,82,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 08:45,114,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 09:00,81,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 09:15,122,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 09:30,133,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 09:45,107,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 10:00,134,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 10:15,119,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 10:30,159,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 10:45,137,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 11:00,142,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 11:15,183,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 11:30,160,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 11:45,155,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 12:00,173,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 12:15,202,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 12:30,206,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 12:45,202,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 13:00,194,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 13:15,177,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 13:30,161,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 13:45,170,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 14:00,173,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 14:15,167,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 14:30,169,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 14:45,144,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 15:00,149,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 15:15,171,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 15:30,173,1,100
3120,BURKE_RD S of CANTERBURY_RD,01-10-2006 15:45,176,1,100
