SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 00:00,80,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 00:15,60,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 00:30,61,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 00:45,45,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 01:00,29,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 01:15,33,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 01:30,39,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 01:45,21,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 02:00,19,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 02:15,29,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 02:30,11,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 02:45,18,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 03:00,17,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 03:15,17,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 03:30,10,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 03:45,15,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 04:00,11,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 04:15,14,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 04:30,12,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 04:45,10,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 05:00,4,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 05:15,10,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 05:30,10,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 05:45,5,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 06:00,22,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 06:15,33,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 06:30,38,1,100
3682,WARRIGAL_RD S OF RIVERSDALE_RD,01-10-2006 06:45,39,1,100
