SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 00:00,15,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 00:15,15,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 00:30,7,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 00:45,7,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 01:00,9,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 01:15,6,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 01:30,9,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 01:45,5,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 02:00,4,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 02:15,4,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 02:30,5,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 02:45,7,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 03:00,4,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 03:15,8,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 03:30,1,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 03:45,1,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 04:00,6,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 04:15,5,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 04:30,6,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 04:45,5,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 05:00,6,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 05:15,2,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 05:30,5,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 05:45,4,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 06:00,8,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 06:15,11,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 06:30,11,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 06:45,11,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 07:00,13,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 07:15,14,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 07:30,8,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 07:45,18,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 08:00,21,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 08:15,22,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 08:30,32,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 08:45,43,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 09:00,30,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 09:15,53,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 09:30,65,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 09:45,69,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 10:00,67,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 10:15,57,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 10:30,72,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 10:45,51,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 11:00,75,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 11:15,72,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 11:30,96,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 11:45,63,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 12:00,80,1,100
3685,HIGHBURY_RD E of WARRIGAL_RD,01-10-2006 12:15,71,1,100
