SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 00:00,48,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 00:15,52,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 00:30,57,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 00:45,28,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 01:00,34,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 01:15,21,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 01:30,28,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 01:45,23,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 02:00,34,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 02:15,35,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 02:30,23,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 02:45,29,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 03:00,21,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 03:15,21,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 03:30,19,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 03:45,10,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 04:00,10,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 04:15,6,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 04:30,19,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 04:45,29,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 05:00,11,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 05:15,15,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 05:30,40,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 05:45,57,1,100
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,01-10-2006 06:00,33,1,100
