SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4030,KILBY_RD W of BURKE_RD,01-10-2006 00:00,8,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 00:15,4,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 00:30,6,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 00:45,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 01:00,4,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 01:15,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 01:30,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 01:45,4,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 02:00,4,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 02:15,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 02:30,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 02:45,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 03:00,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 03:15,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 03:30,4,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 03:45,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 04:00,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 04:15,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 04:30,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 04:45,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 05:00,1,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 05:15,1,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 05:30,2,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 05:45,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 06:00,0,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 06:15,2,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 06:30,2,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 06:45,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 07:00,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 07:15,2,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 07:30,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 07:45,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 08:00,11,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 08:15,7,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 08:30,8,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 08:45,13,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 09:00,21,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 09:15,17,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 09:30,8,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 09:45,18,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 10:00,23,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 10:15,19,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 10:30,26,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 10:45,26,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 11:00,18,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 11:15,24,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 11:30,19,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 11:45,29,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 12:00,38,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 12:15,34,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 12:30,27,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 12:45,23,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 13:00,38,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 13:15,27,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 13:30,29,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 13:45,26,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 14:00,25,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 14:15,19,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 14:30,19,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 14:45,33,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 15:00,26,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 15:15,32,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 15:30,30,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 15:45,32,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 16:00,23,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 16:15,28,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 16:30,26,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 16:45,26,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 17:00,23,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 17:15,31,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 17:30,32,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 17:45,28,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 18:00,33,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 18:15,18,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 18:30,24,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 18:45,12,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 19:00,21,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 19:15,14,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 19:30,11,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 19:45,11,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 20:00,9,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 20:15,11,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 20:30,9,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 20:45,13,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 21:00,10,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 21:15,7,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 21:30,19,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 21:45,8,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 22:00,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 22:15,5,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 22:30,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 22:45,2,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 23:00,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 23:15,3,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 23:30,6,1,100
4030,KILBY_RD W of BURKE_RD,01-10-2006 23:45,1,1,100
4030,KILBY_RD W of BURKE_RD,02-10-2006 00:00,1,1,100
4030,KILBY_RD W of BURKE_RD,02-10-2006 00:15,2,1,100
4030,KILBY_RD W of BURKE_RD,02-10-2006 00:30,2,1,100
