SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4032,BELMORE_RD E of BURKE_RD,01-10-2006 00:00,28,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 00:15,30,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 00:30,13,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 00:45,18,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 01:00,8,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 01:15,14,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 01:30,11,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 01:45,13,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 02:00,4,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 02:15,8,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 02:30,8,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 02:45,3,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 03:00,0,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 03:15,6,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 03:30,8,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 03:45,4,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 04:00,7,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 04:15,4,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 04:30,2,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 04:45,6,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 05:00,7,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 05:15,6,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 05:30,7,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 05:45,9,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 06:00,16,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 06:15,19,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 06:30,26,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 06:45,13,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 07:00,25,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 07:15,18,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 07:30,38,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 07:45,37,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 08:00,44,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 08:15,38,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 08:30,46,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 08:45,61,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 09:00,51,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 09:15,71,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 09:30,91,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 09:45,98,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 10:00,84,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 10:15,74,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 10:30,95,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 10:45,116,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 11:00,115,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 11:15,107,1,100
4032,BELMORE_RD E of BURKE_RD,01-10-2006 11:30,106,1,100
