SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 00:00,72,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 00:15,77,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 00:30,62,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 00:45,56,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 01:00,51,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 01:15,54,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 01:30,43,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 01:45,36,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 02:00,32,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 02:15,31,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 02:30,24,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 02:45,22,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 03:00,22,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 03:15,19,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 03:30,16,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 03:45,16,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 04:00,14,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 04:15,17,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 04:30,17,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 04:45,13,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 05:00,16,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 05:15,9,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 05:30,19,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 05:45,20,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 06:00,29,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 06:15,29,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 06:30,37,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 06:45,43,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 07:00,34,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 07:15,30,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 07:30,47,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 07:45,47,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 08:00,48,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 08:15,53,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 08:30,93,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 08:45,92,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 09:00,91,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 09:15,72,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 09:30,120,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 09:45,111,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 10:00,96,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 10:15,129,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 10:30,117,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 10:45,120,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 11:00,129,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 11:15,111,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 11:30,119,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 11:45,135,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 12:00,115,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 12:15,123,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 12:30,128,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 12:45,142,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 13:00,108,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 13:15,129,1,100
4040,BURKE_RD N of RIVERSDALE_RD,01-10-2006 13:30,117,1,100
