SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 00:00,34,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 00:15,28,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 00:30,38,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 00:45,30,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 01:00,21,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 01:15,11,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 01:30,19,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 01:45,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 02:00,11,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 02:15,9,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 02:30,8,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 02:45,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 03:00,5,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 03:15,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 03:30,6,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 03:45,5,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 04:00,9,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 04:15,9,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 04:30,12,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 04:45,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 05:00,10,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 05:15,5,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 05:30,8,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 05:45,17,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 06:00,4,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 06:15,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 06:30,17,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 06:45,16,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 07:00,12,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 07:15,25,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 07:30,24,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 07:45,20,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 08:00,29,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 08:15,22,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 08:30,46,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 08:45,58,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 09:00,54,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 09:15,76,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 09:30,76,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 09:45,104,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 10:00,83,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 10:15,72,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 10:30,86,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 10:45,125,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 11:00,120,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 11:15,112,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 11:30,132,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 11:45,146,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 12:00,105,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 12:15,108,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 12:30,136,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 12:45,148,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 13:00,143,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 13:15,115,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 13:30,126,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 13:45,136,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 14:00,127,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 14:15,130,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 14:30,115,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 14:45,118,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 15:00,118,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 15:15,121,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 15:30,136,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 15:45,123,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 16:00,144,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 16:15,142,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 16:30,103,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 16:45,135,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 17:00,142,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 17:15,155,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 17:30,138,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 17:45,124,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 18:00,136,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 18:15,104,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 18:30,113,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 18:45,87,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 19:00,85,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 19:15,70,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 19:30,65,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 19:45,63,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 20:00,54,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 20:15,49,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 20:30,51,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 20:45,56,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 21:00,68,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 21:15,68,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 21:30,61,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 21:45,44,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 22:00,38,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 22:15,31,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 22:30,31,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 22:45,20,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 23:00,24,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 23:15,21,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 23:30,17,1,100
4057,BALWYN_RD S OF BELMORE_RD,01-10-2006 23:45,12,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 00:00,10,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 00:15,10,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 00:30,6,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 00:45,8,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 01:00,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 01:15,6,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 01:30,6,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 01:45,2,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 02:00,2,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 02:15,2,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 02:30,2,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 02:45,2,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 03:00,7,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 03:15,2,1,100
4057,BALWYN_RD S OF BELMORE_RD,02-10-2006 03:30,3,1,100
