SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 00:00,22,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 00:15,38,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 00:30,32,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 00:45,22,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 01:00,18,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 01:15,17,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 01:30,11,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 01:45,20,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 02:00,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 02:15,8,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 02:30,5,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 02:45,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 03:00,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 03:15,2,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 03:30,8,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 03:45,7,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 04:00,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 04:15,8,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 04:30,5,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 04:45,5,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 05:00,3,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 05:15,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 05:30,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 05:45,9,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 06:00,11,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 06:15,11,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 06:30,17,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 06:45,18,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 07:00,19,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 07:15,26,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 07:30,32,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 07:45,39,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 08:00,36,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 08:15,41,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 08:30,53,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 08:45,76,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 09:00,80,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 09:15,97,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 09:30,77,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 09:45,92,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 10:00,109,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 10:15,127,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 10:30,115,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 10:45,115,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 11:00,122,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 11:15,112,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 11:30,118,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 11:45,135,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 12:00,125,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 12:15,133,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 12:30,122,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 12:45,128,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 13:00,118,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 13:15,123,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 13:30,118,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 13:45,120,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 14:00,150,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 14:15,111,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 14:30,115,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 14:45,109,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 15:00,116,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 15:15,111,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 15:30,107,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 15:45,116,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 16:00,110,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 16:15,118,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 16:30,116,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 16:45,105,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 17:00,134,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 17:15,131,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 17:30,109,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 17:45,124,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 18:00,106,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 18:15,90,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 18:30,84,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 18:45,80,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 19:00,76,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 19:15,60,1,100
4063,BALWYN_RD N OF WHITEHORSE_RD,01-10-2006 19:30,59,1,100
