SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 00:00,31,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 00:15,23,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 00:30,28,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 00:45,21,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 01:00,13,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 01:15,12,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 01:30,11,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 01:45,6,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 02:00,7,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 02:15,9,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 02:30,5,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 02:45,8,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 03:00,6,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 03:15,7,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 03:30,5,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 03:45,5,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 04:00,3,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 04:15,11,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 04:30,6,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 04:45,2,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 05:00,4,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 05:15,7,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 05:30,9,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 05:45,6,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 06:00,7,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 06:15,2,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 06:30,12,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 06:45,13,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 07:00,14,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 07:15,16,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 07:30,24,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 07:45,14,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 08:00,29,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 08:15,31,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 08:30,38,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 08:45,64,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 09:00,49,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 09:15,70,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 09:30,66,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 09:45,77,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 10:00,75,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 10:15,75,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 10:30,103,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 10:45,105,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 11:00,90,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 11:15,84,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 11:30,108,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 11:45,114,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 12:00,139,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 12:15,106,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 12:30,115,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 12:45,122,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 13:00,100,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 13:15,93,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 13:30,106,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 13:45,92,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 14:00,109,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 14:15,120,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 14:30,101,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 14:45,104,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 15:00,101,1,100
4063,BALWYN_RD S OF WHITEHORSE_RD,01-10-2006 15:15,110,1,100
