SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 00:00,73,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 00:15,81,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 00:30,59,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 00:45,65,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 01:00,59,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 01:15,62,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 01:30,47,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 01:45,79,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 02:00,58,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 02:15,34,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 02:30,37,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 02:45,52,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 03:00,39,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 03:15,33,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 03:30,34,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 03:45,38,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 04:00,46,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 04:15,25,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 04:30,22,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 04:45,44,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 05:00,24,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 05:15,27,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 05:30,28,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 05:45,36,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 06:00,33,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 06:15,42,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 06:30,43,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 06:45,40,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 07:00,31,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 07:15,36,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 07:30,47,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 07:45,64,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 08:00,62,1,100
4264,BURWOOD_RD E of GLENFERRIE_RD,01-10-2006 08:15,62,1,100
