SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 00:00,61,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 00:15,51,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 00:30,65,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 00:45,49,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 01:00,31,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 01:15,32,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 01:30,44,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 01:45,42,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 02:00,23,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 02:15,28,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 02:30,20,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 02:45,39,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 03:00,38,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 03:15,22,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 03:30,27,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 03:45,25,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 04:00,19,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 04:15,26,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 04:30,9,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 04:45,22,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 05:00,15,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 05:15,12,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 05:30,16,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 05:45,12,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 06:00,13,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 06:15,15,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 06:30,11,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 06:45,16,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 07:00,20,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 07:15,28,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 07:30,26,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 07:45,39,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 08:00,25,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 08:15,43,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 08:30,46,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 08:45,47,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 09:00,63,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 09:15,73,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 09:30,69,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 09:45,78,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 10:00,104,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 10:15,89,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 10:30,98,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 10:45,95,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 11:00,121,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 11:15,114,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 11:30,100,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 11:45,118,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 12:00,127,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 12:15,137,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 12:30,146,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 12:45,147,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 13:00,104,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 13:15,124,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 13:30,119,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 13:45,123,1,100
4264,GLENFERRIE_RD S of BURWOOD_RD,01-10-2006 14:00,117,1,100
