SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 00:00,75,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 00:15,64,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 00:30,57,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 00:45,54,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 01:00,35,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 01:15,40,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 01:30,29,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 01:45,28,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 02:00,30,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 02:15,32,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 02:30,28,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 02:45,21,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 03:00,25,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 03:15,21,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 03:30,25,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 03:45,23,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 04:00,24,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 04:15,17,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 04:30,17,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 04:45,22,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 05:00,16,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 05:15,17,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 05:30,19,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 05:45,22,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 06:00,14,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 06:15,41,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 06:30,38,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 06:45,50,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 07:00,35,1,100
4270,RIVERSDALE_RD E of GLENFERRIE_RD,01-10-2006 07:15,43,1,100
