SCATS Number,Location,15 Minutes,Day,Hour,Hour-Sin,Hour-Cos,Lag-15min,Lag-30min,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 00:00:00,1,0.0,0.0,1.0,11.0,12.0,31,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 00:15:00,1,0.25,0.065403129230143,0.9978589232386036,31.0,11.0,17,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 00:30:00,1,0.5,0.1305261922200515,0.9914448613738104,17.0,31.0,25,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 00:45:00,1,0.75,0.1950903220161282,0.9807852804032304,25.0,17.0,14,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 01:00:00,1,1.0,0.2588190451025207,0.9659258262890684,14.0,25.0,10,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 01:15:00,1,1.25,0.3214394653031616,0.9469301294951056,10.0,14.0,11,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 01:30:00,1,1.5,0.3826834323650898,0.9238795325112868,11.0,10.0,5,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 01:45:00,1,1.75,0.4422886902190012,0.8968727415326884,5.0,11.0,7,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 02:00:00,1,2.0,0.4999999999999999,0.8660254037844387,7.0,5.0,10,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 02:15:00,1,2.25,0.5555702330196022,0.8314696123025452,10.0,7.0,9,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 02:30:00,1,2.5,0.6087614290087207,0.7933533402912352,9.0,10.0,9,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 02:45:00,1,2.75,0.6593458151000688,0.7518398074789775,9.0,9.0,7,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 03:00:00,1,3.0,0.7071067811865475,0.7071067811865476,7.0,9.0,9,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 03:15:00,1,3.25,0.7518398074789774,0.6593458151000688,9.0,7.0,3,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 03:30:00,1,3.5,0.7933533402912352,0.6087614290087207,3.0,9.0,5,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 03:45:00,1,3.75,0.8314696123025451,0.5555702330196024,5.0,3.0,12,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 04:00:00,1,4.0,0.8660254037844386,0.5000000000000001,12.0,5.0,7,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 04:15:00,1,4.25,0.8968727415326884,0.4422886902190012,7.0,12.0,3,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 04:30:00,1,4.5,0.9238795325112868,0.3826834323650898,3.0,7.0,3,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 04:45:00,1,4.75,0.9469301294951056,0.3214394653031617,3.0,3.0,13,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 05:00:00,1,5.0,0.9659258262890684,0.2588190451025207,13.0,3.0,12,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 05:15:00,1,5.25,0.9807852804032304,0.1950903220161283,12.0,13.0,9,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 05:30:00,1,5.5,0.9914448613738104,0.1305261922200517,9.0,12.0,19,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 05:45:00,1,5.75,0.9978589232386036,0.0654031292301432,19.0,9.0,14,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 06:00:00,1,6.0,1.0,6.123233995736766e-17,14.0,19.0,19,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 06:15:00,1,6.25,0.9978589232386036,-0.0654031292301431,19.0,14.0,37,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 06:30:00,1,6.5,0.9914448613738104,-0.1305261922200516,37.0,19.0,57,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 06:45:00,1,6.75,0.9807852804032304,-0.1950903220161282,57.0,37.0,63,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 07:00:00,1,7.0,0.9659258262890684,-0.2588190451025206,63.0,57.0,94,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 07:15:00,1,7.25,0.9469301294951056,-0.3214394653031616,94.0,63.0,120,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 07:30:00,1,7.5,0.9238795325112868,-0.3826834323650895,120.0,94.0,173,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 07:45:00,1,7.75,0.8968727415326884,-0.4422886902190011,173.0,120.0,150,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 08:00:00,1,8.0,0.8660254037844387,-0.4999999999999998,150.0,173.0,167,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 08:15:00,1,8.25,0.8314696123025451,-0.5555702330196024,167.0,150.0,192,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 08:30:00,1,8.5,0.7933533402912352,-0.6087614290087207,192.0,167.0,169,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 08:45:00,1,8.75,0.7518398074789774,-0.6593458151000688,169.0,192.0,135,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 09:00:00,1,9.0,0.7071067811865476,-0.7071067811865475,135.0,169.0,152,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 09:15:00,1,9.25,0.659345815100069,-0.7518398074789773,152.0,135.0,143,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 09:30:00,1,9.5,0.6087614290087209,-0.793353340291235,143.0,152.0,140,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 09:45:00,1,9.75,0.5555702330196025,-0.831469612302545,140.0,143.0,126,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 10:00:00,1,10.0,0.4999999999999999,-0.8660254037844387,126.0,140.0,111,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 10:15:00,1,10.25,0.4422886902190017,-0.8968727415326881,111.0,126.0,106,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 10:30:00,1,10.5,0.3826834323650899,-0.9238795325112868,106.0,111.0,143,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 10:45:00,1,10.75,0.3214394653031617,-0.9469301294951056,143.0,106.0,139,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 11:00:00,1,11.0,0.258819045102521,-0.9659258262890682,139.0,143.0,148,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 11:15:00,1,11.25,0.1950903220161281,-0.9807852804032304,148.0,139.0,136,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 11:30:00,1,11.5,0.130526192220052,-0.9914448613738104,136.0,148.0,158,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 11:45:00,1,11.75,0.0654031292301431,-0.9978589232386036,158.0,136.0,149,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 12:00:00,1,12.0,1.2246467991473532e-16,-1.0,149.0,158.0,127,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 12:15:00,1,12.25,-0.0654031292301428,-0.9978589232386036,127.0,149.0,140,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 12:30:00,1,12.5,-0.1305261922200517,-0.9914448613738104,140.0,127.0,147,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 12:45:00,1,12.75,-0.1950903220161279,-0.9807852804032304,147.0,140.0,151,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 13:00:00,1,13.0,-0.2588190451025208,-0.9659258262890684,151.0,147.0,148,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 13:15:00,1,13.25,-0.3214394653031615,-0.9469301294951056,148.0,151.0,154,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 13:30:00,1,13.5,-0.3826834323650896,-0.9238795325112868,154.0,148.0,165,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 13:45:00,1,13.75,-0.4422886902190014,-0.8968727415326881,165.0,154.0,163,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 14:00:00,1,14.0,-0.4999999999999998,-0.8660254037844388,163.0,165.0,153,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 14:15:00,1,14.25,-0.555570233019602,-0.8314696123025455,153.0,163.0,151,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 14:30:00,1,14.5,-0.6087614290087207,-0.7933533402912352,151.0,153.0,142,1,100
4272,RIVERSDALE_RD W of TOORONGA_RD,2006-10-02 14:45:00,1,14.75,-0.6593458151000688,-0.7518398074789775,142.0,151.0,167,1,100
