SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4321,HIGH_ST NE OF HARP_ST,01-10-2006 00:00,26,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 00:15,21,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 00:30,27,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 00:45,24,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 01:00,19,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 01:15,15,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 01:30,16,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 01:45,12,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 02:00,9,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 02:15,13,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 02:30,12,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 02:45,8,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 03:00,9,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 03:15,10,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 03:30,4,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 03:45,3,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 04:00,11,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 04:15,6,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 04:30,6,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 04:45,0,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 05:00,8,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 05:15,7,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 05:30,8,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 05:45,5,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 06:00,6,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 06:15,8,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 06:30,13,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 06:45,16,1,100
4321,HIGH_ST NE OF HARP_ST,01-10-2006 07:00,21,1,100
