SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4321,HIGH_ST SW OF HARP_ST,01-10-2006 00:00,52,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 00:15,44,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 00:30,44,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 00:45,44,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 01:00,30,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 01:15,34,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 01:30,24,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 01:45,30,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 02:00,25,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 02:15,22,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 02:30,20,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 02:45,21,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 03:00,18,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 03:15,15,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 03:30,15,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 03:45,21,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 04:00,20,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 04:15,16,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 04:30,12,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 04:45,8,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 05:00,13,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 05:15,10,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 05:30,8,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 05:45,11,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 06:00,7,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 06:15,8,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 06:30,12,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 06:45,11,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 07:00,7,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 07:15,16,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 07:30,9,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 07:45,17,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 08:00,27,1,100
4321,HIGH_ST SW OF HARP_ST,01-10-2006 08:15,25,1,100
