SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 00:00,43,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 00:15,34,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 00:30,35,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 00:45,24,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 01:00,19,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 01:15,31,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 01:30,15,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 01:45,17,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 02:00,21,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 02:15,26,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 02:30,15,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 02:45,20,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 03:00,18,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 03:15,15,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 03:30,17,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 03:45,10,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 04:00,12,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 04:15,18,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 04:30,16,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 04:45,15,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 05:00,11,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 05:15,12,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 05:30,16,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 05:45,14,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 06:00,20,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 06:15,16,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 06:30,22,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 06:45,34,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 07:00,17,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 07:15,33,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 07:30,38,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 07:45,48,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 08:00,37,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 08:15,52,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 08:30,57,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 08:45,70,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 09:00,70,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 09:15,94,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 09:30,96,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 09:45,104,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 10:00,76,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 10:15,77,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 10:30,111,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 10:45,112,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 11:00,130,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 11:15,114,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 11:30,120,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 11:45,118,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 12:00,92,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 12:15,124,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 12:30,133,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 12:45,121,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 13:00,106,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 13:15,108,1,100
4324,COTHAM_RD E OF GLENFERRIE_RD,01-10-2006 13:30,135,1,100
