SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 00:00,32,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 00:15,29,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 00:30,32,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 00:45,15,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 01:00,25,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 01:15,21,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 01:30,21,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 01:45,20,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 02:00,21,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 02:15,14,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 02:30,15,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 02:45,17,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 03:00,17,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 03:15,11,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 03:30,15,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 03:45,16,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 04:00,12,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 04:15,6,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 04:30,5,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 04:45,12,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 05:00,9,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 05:15,9,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 05:30,4,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 05:45,8,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 06:00,6,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 06:15,5,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 06:30,10,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 06:45,12,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 07:00,14,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 07:15,14,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 07:30,5,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 07:45,13,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 08:00,14,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 08:15,19,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 08:30,33,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 08:45,31,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 09:00,43,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 09:15,38,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 09:30,41,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 09:45,48,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 10:00,52,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 10:15,46,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 10:30,47,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 10:45,55,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 11:00,58,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 11:15,54,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 11:30,57,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 11:45,71,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 12:00,66,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 12:15,66,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 12:30,71,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 12:45,86,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 13:00,86,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 13:15,67,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 13:30,71,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 13:45,65,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 14:00,55,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 14:15,62,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 14:30,60,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 14:45,75,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 15:00,87,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 15:15,65,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 15:30,71,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 15:45,74,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 16:00,64,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 16:15,75,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 16:30,76,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 16:45,71,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 17:00,76,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 17:15,81,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 17:30,77,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 17:45,88,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 18:00,90,1,100
4324,GLENFERRIE_RD S OF COTHAM_RD,01-10-2006 18:15,71,1,100
