SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 00:00,58,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 00:15,53,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 00:30,57,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 00:45,43,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 01:00,39,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 01:15,37,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 01:30,19,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 01:45,25,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 02:00,21,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 02:15,21,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 02:30,17,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 02:45,16,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 03:00,18,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 03:15,13,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 03:30,16,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 03:45,14,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 04:00,15,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 04:15,12,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 04:30,11,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 04:45,10,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 05:00,9,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 05:15,11,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 05:30,11,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 05:45,13,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 06:00,10,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 06:15,11,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 06:30,15,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 06:45,31,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 07:00,15,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 07:15,27,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 07:30,27,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 07:45,34,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 08:00,34,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 08:15,34,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 08:30,42,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 08:45,69,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 09:00,46,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 09:15,69,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 09:30,71,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 09:45,100,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 10:00,109,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 10:15,88,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 10:30,118,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 10:45,113,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 11:00,97,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 11:15,113,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 11:30,145,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 11:45,167,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 12:00,129,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 12:15,173,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 12:30,143,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 12:45,150,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 13:00,134,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 13:15,140,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 13:30,128,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 13:45,152,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 14:00,123,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 14:15,140,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 14:30,155,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 14:45,139,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 15:00,127,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 15:15,170,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 15:30,156,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 15:45,168,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 16:00,145,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 16:15,211,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 16:30,173,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 16:45,208,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 17:00,159,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 17:15,218,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 17:30,216,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 17:45,240,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 18:00,183,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 18:15,148,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 18:30,126,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 18:45,122,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 19:00,83,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 19:15,85,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 19:30,62,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 19:45,65,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 20:00,69,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 20:15,51,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 20:30,66,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 20:45,56,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 21:00,85,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 21:15,93,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 21:30,67,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 21:45,45,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 22:00,52,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 22:15,41,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 22:30,36,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 22:45,35,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 23:00,32,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 23:15,31,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 23:30,21,1,100
4812,MADDEN_GV S OF SWAN_ST,01-10-2006 23:45,24,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 00:00,14,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 00:15,8,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 00:30,10,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 00:45,13,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 01:00,9,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 01:15,10,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 01:30,5,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 01:45,5,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 02:00,8,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 02:15,2,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 02:30,2,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 02:45,4,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 03:00,8,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 03:15,0,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 03:30,4,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 03:45,4,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 04:00,6,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 04:15,4,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 04:30,6,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 04:45,5,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 05:00,3,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 05:15,10,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 05:30,13,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 05:45,16,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 06:00,22,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 06:15,28,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 06:30,51,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 06:45,83,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 07:00,107,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 07:15,120,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 07:30,227,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 07:45,227,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 08:00,239,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 08:15,239,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 08:30,229,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 08:45,164,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 09:00,167,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 09:15,159,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 09:30,144,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 09:45,120,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 10:00,138,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 10:15,136,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 10:30,156,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 10:45,173,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 11:00,156,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 11:15,143,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 11:30,121,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 11:45,148,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 12:00,151,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 12:15,147,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 12:30,170,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 12:45,156,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 13:00,154,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 13:15,149,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 13:30,169,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 13:45,152,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 14:00,157,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 14:15,161,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 14:30,173,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 14:45,182,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 15:00,202,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 15:15,204,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 15:30,226,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 15:45,177,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 16:00,194,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 16:15,214,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 16:30,241,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 16:45,242,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 17:00,241,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 17:15,330,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 17:30,285,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 17:45,326,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 18:00,300,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 18:15,283,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 18:30,235,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 18:45,214,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 19:00,145,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 19:15,121,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 19:30,129,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 19:45,107,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 20:00,82,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 20:15,85,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 20:30,73,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 20:45,73,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 21:00,69,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 21:15,70,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 21:30,75,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 21:45,68,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 22:00,65,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 22:15,53,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 22:30,56,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 22:45,39,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 23:00,22,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 23:15,29,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 23:30,21,1,100
4812,MADDEN_GV S OF SWAN_ST,02-10-2006 23:45,18,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 00:00,20,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 00:15,14,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 00:30,12,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 00:45,9,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 01:00,2,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 01:15,8,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 01:30,5,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 01:45,1,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 02:00,6,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 02:15,1,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 02:30,3,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 02:45,1,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 03:00,0,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 03:15,3,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 03:30,4,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 03:45,1,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 04:00,1,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 04:15,3,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 04:30,1,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 04:45,3,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 05:00,7,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 05:15,9,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 05:30,9,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 05:45,23,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 06:00,21,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 06:15,41,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 06:30,77,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 06:45,98,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 07:00,117,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 07:15,117,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 07:30,193,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 07:45,259,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 08:00,241,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 08:15,216,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 08:30,272,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 08:45,233,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 09:00,237,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 09:15,176,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 09:30,181,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 09:45,152,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 10:00,145,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 10:15,156,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 10:30,153,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 10:45,134,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 11:00,166,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 11:15,150,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 11:30,151,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 11:45,167,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 12:00,141,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 12:15,161,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 12:30,197,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 12:45,195,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 13:00,190,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 13:15,177,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 13:30,168,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 13:45,183,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 14:00,180,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 14:15,267,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 14:30,175,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 14:45,201,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 15:00,216,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 15:15,225,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 15:30,249,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 15:45,251,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 16:00,244,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 16:15,265,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 16:30,221,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 16:45,277,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 17:00,232,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 17:15,293,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 17:30,264,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 17:45,316,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 18:00,275,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 18:15,281,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 18:30,244,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 18:45,225,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 19:00,216,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 19:15,196,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 19:30,121,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 19:45,120,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 20:00,96,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 20:15,95,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 20:30,82,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 20:45,66,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 21:00,83,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 21:15,73,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 21:30,74,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 21:45,71,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 22:00,80,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 22:15,67,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 22:30,65,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 22:45,52,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 23:00,39,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 23:15,42,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 23:30,31,1,100
4812,MADDEN_GV S OF SWAN_ST,03-10-2006 23:45,25,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 00:00,24,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 00:15,12,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 00:30,15,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 00:45,11,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 01:00,5,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 01:15,12,1,100
4812,MADDEN_GV S OF SWAN_ST,04-10-2006 01:30,10,1,100
