SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 00:00,49,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 00:15,54,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 00:30,48,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 00:45,50,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 01:00,31,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 01:15,39,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 01:30,36,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 01:45,23,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 02:00,36,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 02:15,31,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 02:30,23,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 02:45,21,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 03:00,28,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 03:15,29,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 03:30,21,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 03:45,19,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 04:00,25,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 04:15,25,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 04:30,15,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 04:45,19,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 05:00,14,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 05:15,17,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 05:30,18,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 05:45,24,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 06:00,8,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 06:15,30,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 06:30,30,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 06:45,38,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 07:00,28,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 07:15,27,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 07:30,36,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 07:45,43,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 08:00,36,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 08:15,56,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 08:30,55,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 08:45,61,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 09:00,56,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 09:15,69,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 09:30,92,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 09:45,78,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 10:00,99,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 10:15,91,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 10:30,94,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 10:45,100,1,100
4812,SWAN_ST NE of MADDEN_GV,01-10-2006 11:00,96,1,100
