SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 00:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 00:15,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 00:30,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 00:45,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 01:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 01:15,1,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 01:30,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 01:45,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 02:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 02:15,1,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 02:30,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 02:45,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 03:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 03:15,1,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 03:30,1,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 03:45,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 04:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 04:15,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 04:30,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 04:45,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 05:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 05:15,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 05:30,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 05:45,5,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 06:00,0,1,100
4821,WALMER_ST N OF VICTORIA_ST,01-10-2006 06:15,1,1,100
